STATION,HTDD,year
USC00317813,,2017
USC00317813,2534,2018
USC00317813,2171,2019
USC00317813,2080,2020
USC00317813,2281,2021
USC00317845,3821,2010
USC00317845,3743,2011
USC00317845,2793,2012
USC00317845,3629,2013
USC00317845,3852,2014
USC00317845,3726,2015
USC00317845,3114,2016
USC00317845,2962,2017
USC00317845,3622,2018
USC00317845,3476,2019
USC00317845,3320,2020
USC00317845,3469,2021
USC00317924,3674,2010
USC00317924,3569,2011
USC00317924,2789,2012
USC00317924,3827,2015
USC00317924,3039,2016
USC00317924,2886,2017
USC00317994,3476,2010
USC00317994,3696,2011
USC00317994,,2012
USC00317994,3327,2013
USC00317994,,2014
USC00317994,,2015
USC00317994,2554,2016
USC00317994,2535,2017
USC00317994,3277,2018
USC00317994,2763,2019
USC00318066,3064,2013
USC00318066,3250,2014
USC00318066,,2015
USC00318066,2462,2016
USC00318066,,2017
USC00318066,3172,2018
USC00318066,2809,2019
USC00318066,2608,2020
USC00318221,,2010
USC00318221,,2011
USC00318221,,2012
USC00318221,5110,2013
USC00318221,5540,2014
USC00318221,5200,2015
USC00318221,,2016
USC00318221,4270,2017
USC00318221,4913,2018
USC00318221,4672,2019
USC00318221,4737,2020
USC00318221,5003,2021
USC00318292,4437,2010
USC00318292,4422,2011
USC00318292,3587,2012
USC00318292,4294,2013
USC00318292,4465,2014
USC00318292,4388,2015
USC00318292,3711,2016
USC00318292,3438,2017
USC00318292,4125,2018
USC00318292,3822,2019
USC00318292,3669,2020
USC00318292,3861,2021
USC00318380,,2010
USC00318380,,2011
USC00318380,,2012
USC00318380,,2013
USC00318380,,2014
